business,portfolio,book,way,type,product,quantity,price,currency,trader,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,4431,8.995559,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,329,102.3169,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,348,114.55807,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,1203,63.683105,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,571,117.110214,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,1498,33.289135,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,1984,45.462368,CHF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,1639,22.734215,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,10578,9.115828,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,219,112.132256,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,3130,30.17867,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,242,100.75051,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,3670,23.2739,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,5153,9.015236,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,208,30.061499,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,5648,8.92091,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,3845,8.898552,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,2317,32.701523,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,111,64.314384,CHF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,408,218.10367,AUD,PFFRAC1,
