business,portfolio,book,way,type,product,quantity,price,currency,trader,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,416,9.113644,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,32,33.28861,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,342,23.092703,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GENERAL ELECTRIC CO,298,24.93107,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,33,117.581985,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,INTEL CORP,214,31.707554,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,64,43.722115,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,18,9.105734,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,41,222.65738,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,GENERAL ELECTRIC CO,330,24.5703,USD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,87,53.914036,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LCL 4.15% 19/04/19 EUR,85,111.39007,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,117,66.293846,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,187,52.92488,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,28,114.34651,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,24,116.71877,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,LAFARGE,131,65.239944,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,TOTAL,75,43.562607,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,AREVA,617,8.976564,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,52,121.41123,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,179,52.12268,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,170,8.988837,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,43,117.62258,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,3,120.5979,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,85,98.91246,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,AREVA,1076,9.303747,CZK,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,33,218.30089,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,66,104.01927,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AREVA,839,8.845738,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,44,62.160942,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,INTEL CORP,213,31.250568,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,TOTAL,233,43.41254,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,1033,8.9240675,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,70,101.21883,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,790,9.110346,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,173,49.13913,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,202,37.522114,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,AXA,227,23.442993,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,13,99.37288,JPY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,54,9.349594,AUD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,58,61.66898,AUD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,HOME DEPOT INCO,16,116.05891,GBP,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,582,9.098365,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,CHEVRON,90,100.64719,ARS,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,GEMALTO,14,9.193475,USD,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,CHEVRON,5,102.40001,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,280,32.26507,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JCDECAUX SA,61,32.856884,HUF,PFFRAC2,
ged,?derivative?,bookequityeuro,sell,equity,VERIZON COMMUNICATION INC,89,48.526077,RUB,PFFRAC1,
ged,?derivative?,bookequityeuro,sell,equity,AXA,20,23.026054,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,AXA,259,23.625938,CNY,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,137,52.284657,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,THALES,113,54.16944,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,NEXITY,77,37.730698,RUB,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,31,219.4313,CZK,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,ILIAD,42,222.80324,ARS,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,VERIZON COMMUNICATION INC,148,48.755215,GBP,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,BPCE 5.1% 27/06/18 EUR,36,113.06055,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,100,46.278828,HUF,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,VALLOUREC,94,21.946348,EUR,PFFRAC1,
ged,?derivative?,bookequityeuro,BUY,equity,JPMORGAN CHASE And CO,132,61.308056,USD,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,AMERICAN EXPRESS,34,45.09332,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,CREDIT AGRICOLE 4.25% 04/02/23 EUR,71,127.55716,EUR,PFFRAC2,
ged,?derivative?,bookequityeuro,BUY,equity,GEMALTO,937,9.034714,RUB,PFFRAC2,
